START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/19/22,01:10 PM,04:10 PM,Brewers at Angels,Tempe Diablo Stadium - Tempe,"",03/19/22,03/19/22,04:10 PM,07:10 PM,FALSE,TRUE,03/19/22,12:10 PM,03:10 PM,FREE,BUSY
03/20/22,01:05 PM,04:05 PM,Angels at Dodgers,Camelback Ranch - Glendale,"",03/20/22,03/20/22,04:05 PM,07:05 PM,FALSE,TRUE,03/20/22,12:05 PM,03:05 PM,FREE,BUSY
03/21/22,01:10 PM,04:10 PM,Athletics at Angels,Tempe Diablo Stadium - Tempe,"",03/21/22,03/21/22,04:10 PM,07:10 PM,FALSE,TRUE,03/21/22,12:10 PM,03:10 PM,FREE,BUSY
03/22/22,06:05 PM,09:05 PM,Angels at Guardians,Goodyear Ballpark - Goodyear,"",03/22/22,03/23/22,09:05 PM,12:05 AM,FALSE,TRUE,03/22/22,05:05 PM,08:05 PM,FREE,BUSY
03/23/22,01:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/23/22,03/23/22,04:10 PM,07:10 PM,FALSE,TRUE,03/23/22,12:10 PM,03:10 PM,FREE,BUSY
03/24/22,01:05 PM,04:05 PM,Angels at White Sox,Camelback Ranch - Glendale,"",03/24/22,03/24/22,04:05 PM,07:05 PM,FALSE,TRUE,03/24/22,12:05 PM,03:05 PM,FREE,BUSY
03/24/22,01:10 PM,04:10 PM,Padres at Angels,Tempe Diablo Stadium - Tempe,"",03/24/22,03/24/22,04:10 PM,07:10 PM,FALSE,TRUE,03/24/22,12:10 PM,03:10 PM,FREE,BUSY
03/25/22,12:10 PM,03:10 PM,D-backs at Angels,Tempe Diablo Stadium - Tempe,"",03/25/22,03/25/22,03:10 PM,06:10 PM,FALSE,TRUE,03/25/22,11:10 AM,02:10 PM,FREE,BUSY
03/27/22,06:07 PM,09:07 PM,Dodgers at Angels,Angel Stadium - Anaheim,"",03/27/22,03/28/22,09:07 PM,12:07 AM,FALSE,TRUE,03/27/22,05:07 PM,08:07 PM,FREE,BUSY
03/28/22,,,Angels at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",03/28/22,03/28/22,,,FALSE,TRUE,03/28/22,,,FREE,BUSY
03/29/22,,,Angels at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",03/29/22,03/29/22,,,FALSE,TRUE,03/29/22,,,FREE,BUSY
03/31/22,07:07 PM,10:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"",03/31/22,04/01/22,10:07 PM,01:07 AM,FALSE,TRUE,03/31/22,06:07 PM,09:07 PM,FREE,BUSY
04/01/22,06:40 PM,09:40 PM,Angels at Athletics,Oakland Coliseum - Oakland,"",04/01/22,04/02/22,09:40 PM,12:40 AM,FALSE,TRUE,04/01/22,05:40 PM,08:40 PM,FREE,BUSY
04/02/22,01:07 PM,04:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"",04/02/22,04/02/22,04:07 PM,07:07 PM,FALSE,TRUE,04/02/22,12:07 PM,03:07 PM,FREE,BUSY
04/03/22,01:07 PM,04:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"",04/03/22,04/03/22,04:07 PM,07:07 PM,FALSE,TRUE,04/03/22,12:07 PM,03:07 PM,FREE,BUSY
04/04/22,06:40 PM,09:40 PM,Angels at Mariners,T-Mobile Park - Seattle,"",04/04/22,04/05/22,09:40 PM,12:40 AM,FALSE,TRUE,04/04/22,05:40 PM,08:40 PM,FREE,BUSY
04/05/22,06:40 PM,09:40 PM,Angels at Mariners,T-Mobile Park - Seattle,"",04/05/22,04/06/22,09:40 PM,12:40 AM,FALSE,TRUE,04/05/22,05:40 PM,08:40 PM,FREE,BUSY
04/07/22,06:38 PM,09:38 PM,Astros at Angels,Angel Stadium - Anaheim,"",04/07/22,04/08/22,09:38 PM,12:38 AM,FALSE,TRUE,04/07/22,05:38 PM,08:38 PM,FREE,BUSY
04/08/22,06:38 PM,09:38 PM,Astros at Angels,Angel Stadium - Anaheim,"",04/08/22,04/09/22,09:38 PM,12:38 AM,FALSE,TRUE,04/08/22,05:38 PM,08:38 PM,FREE,BUSY
04/09/22,06:07 PM,09:07 PM,Astros at Angels,Angel Stadium - Anaheim,"",04/09/22,04/10/22,09:07 PM,12:07 AM,FALSE,TRUE,04/09/22,05:07 PM,08:07 PM,FREE,BUSY
04/10/22,01:07 PM,04:07 PM,Astros at Angels,Angel Stadium - Anaheim,"",04/10/22,04/10/22,04:07 PM,07:07 PM,FALSE,TRUE,04/10/22,12:07 PM,03:07 PM,FREE,BUSY
04/11/22,06:38 PM,09:38 PM,Marlins at Angels,Angel Stadium - Anaheim,"",04/11/22,04/12/22,09:38 PM,12:38 AM,FALSE,TRUE,04/11/22,05:38 PM,08:38 PM,FREE,BUSY
04/12/22,04:07 PM,07:07 PM,Marlins at Angels,Angel Stadium - Anaheim,"",04/12/22,04/12/22,07:07 PM,10:07 PM,FALSE,TRUE,04/12/22,03:07 PM,06:07 PM,FREE,BUSY
04/14/22,05:05 PM,08:05 PM,Angels at Rangers,Globe Life Field - Arlington,"",04/14/22,04/14/22,08:05 PM,11:05 PM,FALSE,TRUE,04/14/22,04:05 PM,07:05 PM,FREE,BUSY
04/15/22,05:05 PM,08:05 PM,Angels at Rangers,Globe Life Field - Arlington,"",04/15/22,04/15/22,08:05 PM,11:05 PM,FALSE,TRUE,04/15/22,04:05 PM,07:05 PM,FREE,BUSY
04/16/22,04:05 PM,07:05 PM,Angels at Rangers,Globe Life Field - Arlington,"",04/16/22,04/16/22,07:05 PM,10:05 PM,FALSE,TRUE,04/16/22,03:05 PM,06:05 PM,FREE,BUSY
